Time - Plot 0	Amplitude - Plot 0	Time - Plot 1	Amplitude - Plot 1		
0	-2.25172	0	-2.0633		-1.691603409
1	-1.39437	1	-2.0633		
2	-1.39437	2	-3.09212		
3	-2.25172	3	-2.92065		
4	-2.25172	4	-3.09212		
5	-1.39437	5	-2.92065		
6	-1.39437	6	-2.0633		
7	-1.39437	7	-1.89183		
8	-1.56584	8	-2.0633		
9	-2.25172	9	-2.23477		
10	-1.39437	10	-2.92065		
11	-1.39437	11	-1.89183		
12	-1.39437	12	-2.0633		
13	-1.56584	13	-1.89183		
14	-1.39437	14	-2.0633		
15	-1.39437	15	-2.0633		
16	-2.25172	16	-2.23477		
17	-1.39437	17	-2.0633		
18	-1.39437	18	-3.09212		
19	-1.39437	19	-2.0633		
20	-1.39437	20	-2.0633		
21	-1.39437	21	-3.09212		
22	-1.39437	22	-2.0633		
23	-2.25172	23	-2.23477		
24	-2.25172	24	-2.0633		
25	-1.39437	25	-2.0633		
26	-1.39437	26	-2.92065		
27	-1.39437	27	-1.89183		
28	-1.39437	28	-2.23477		
29	-1.39437	29	-2.92065		
30	-1.56584	30	-2.0633		
31	-1.39437	31	-3.09212		
32	-2.4232	32	-2.92065		
33	-2.25172	33	-1.72036		
34	-1.39437	34	-3.09212		
35	-1.39437	35	-2.0633		
36	-2.25172	36	-2.0633		
37	-2.25172	37	-2.74918		
38	-1.39437	38	-2.23477		
39	-1.39437	39	-2.23477		
40	-1.39437	40	-2.0633		
41	-1.39437	41	-1.89183		
42	-1.39437	42	-2.23477		
43	-2.25172	43	-2.92065		
44	-1.39437	44	-2.0633		
45	-1.2229	45	-2.23477		
46	-1.39437	46	-2.74918		
47	-2.25172	47	-2.92065		
48	-2.25172	48	-2.0633		
49	-1.39437	49	-2.0633		
50	-1.39437	50	-2.0633		
51	-1.39437	51	-2.23477		
52	-2.4232	52	-2.0633		
53	-2.25172	53	-2.0633		
54	-1.39437	54	-2.0633		
55	-1.56584	55	-2.0633		
56	-1.39437	56	-1.89183		
57	-1.2229	57	-1.89183		
58	-2.25172	58	-2.23477		
59	-1.2229	59	-2.92065		
60	-1.39437	60	-2.0633		
61	-1.39437	61	-2.92065		
62	-1.39437	62	-2.0633		
63	-1.39437	63	-2.92065		
64	-2.25172	64	-2.0633		
65	-2.25172	65	-2.0633		
66	-1.39437	66	-1.89183		
67	-1.39437	67	-1.89183		
68	-2.25172	68	-2.23477		
69	-1.39437	69	-2.0633		
70	-1.39437	70	-2.0633		
71	-1.39437	71	-2.92065		
72	-2.25172	72	-2.0633		
73	-1.39437	73	-2.0633		
74	-1.39437	74	-2.0633		
75	-1.39437	75	-2.0633		
76	-2.08025	76	-2.0633		
77	-2.25172	77	-2.23477		
78	-1.39437	78	-2.92065		
79	-1.39437	79	-3.09212		
80	-2.08025	80	-2.23477		
81	-2.25172	81	-2.74918		
82	-1.39437	82	-2.0633		
83	-2.25172	83	-2.74918		
