Time - Plot 0	Amplitude - Plot 0	Time - Plot 1	Amplitude - Plot 1		
0	9.77946	0	6.53848		6.388332694
1	9.77946	1	6.53848		
2	9.77946	2	6.53848		
3	9.77946	3	6.53848		
4	9.77946	4	6.70995		
5	9.77946	5	6.70995		
6	9.77946	6	6.53848		
7	9.77946	7	6.70995		
8	9.60799	8	6.53848		
9	9.77946	9	6.53848		
10	9.77946	10	6.53848		
11	9.77946	11	5.50966		
12	10.6368	12	6.53848		
13	9.77946	13	6.53848		
14	9.77946	14	6.53848		
15	9.77946	15	6.36701		
16	9.77946	16	5.68113		
17	9.77946	17	5.68113		
18	9.77946	18	5.68113		
19	8.92211	19	5.8526		
20	9.77946	20	6.53848		
21	9.77946	21	6.53848		
22	9.95093	22	6.70995		
23	9.77946	23	6.53848		
24	10.6368	24	5.68113		
25	9.77946	25	6.53848		
26	9.77946	26	6.53848		
27	9.77946	27	6.53848		
28	9.77946	28	6.53848		
29	9.77946	29	6.53848		
30	9.77946	30	6.53848		
31	9.77946	31	5.68113		
32	9.60799	32	5.8526		
33	9.77946	33	5.68113		
34	9.77946	34	6.53848		
35	9.77946	35	6.36701		
36	9.77946	36	6.53848		
37	9.77946	37	5.68113		
38	9.77946	38	6.53848		
39	9.60799	39	6.53848		
40	9.77946	40	6.53848		
41	9.77946	41	5.68113		
42	9.95093	42	6.70995		
43	9.60799	43	5.68113		
44	9.95093	44	6.53848		
45	9.77946	45	6.53848		
46	9.77946	46	5.68113		
47	9.77946	47	6.53848		
48	9.77946	48	6.53848		
49	10.6368	49	6.53848		
50	9.77946	50	6.53848		
51	9.77946	51	5.68113		
52	9.77946	52	6.53848		
53	9.60799	53	6.53848		
54	9.77946	54	5.68113		
55	9.77946	55	6.53848		
56	9.77946	56	6.53848		
57	9.60799	57	6.53848		
58	9.77946	58	6.53848		
59	9.77946	59	6.53848		
60	9.77946	60	5.68113		
61	9.77946	61	6.53848		
62	9.77946	62	6.53848		
63	9.60799	63	6.70995		
64	9.77946	64	6.53848		
65	9.77946	65	6.53848		
66	9.95093	66	5.68113		
67	9.77946	67	6.53848		
68	9.77946	68	6.53848		
69	9.77946	69	6.53848		
70	9.77946	70	6.53848		
71	9.77946	71	6.53848		
72	9.77946	72	6.53848		
73	10.6368	73	6.53848		
74	9.77946	74	6.53848		
75	9.77946	75	6.53848		
76	9.60799	76	6.70995		
77	9.77946	77	6.53848		
78	9.77946	78	6.53848		
79	9.77946	79	6.53848		
80	10.6368	80	6.53848		
81	10.6368	81	5.68113		
82	9.95093	82	6.53848		
83	9.77946	83	6.53848		
84	9.77946	84	6.36701		
85	9.43652	85	6.53848		
86	9.77946	86	5.68113		
87	9.77946	87	6.53848		
88	10.6368	88	5.68113		
89	9.77946	89	6.53848		
90	9.77946	90	6.19554		
91	9.77946	91	6.53848		
92	9.77946	92	6.36701		
93	9.77946	93	6.53848		
94	9.77946	94	5.68113		
95	9.77946	95	6.53848		
96	9.77946	96	6.53848		
97	9.77946	97	5.68113		
98	9.77946	98	5.68113		
99	9.77946	99	6.53848		
100	9.77946	100	6.53848		
101	9.77946	101	6.53848		
102	9.77946	102	6.53848		
103	10.6368	103	6.53848		
104	10.6368	104	6.70995		
105	9.77946	105	6.53848		
106	9.77946	106	6.53848		
107	9.77946	107	6.53848		
108	9.77946	108	6.53848		
109	9.77946	109	6.53848		
110	9.77946	110	6.53848		
111	9.95093	111	6.53848		
112	9.77946	112	6.53848		
113	9.77946	113	6.53848		
114	9.77946	114	6.53848		
115	9.60799	115	6.53848		
116	9.77946	116	6.53848		
117	9.77946	117	5.68113		
118	9.77946	118	6.53848		
119	9.95093	119	6.53848		
120	9.77946	120	6.53848		
121	9.95093	121	6.53848		
122	9.77946	122	6.53848		
123	9.77946	123	6.53848		
124	9.77946	124	6.53848		
125	9.77946	125	6.53848		
126	9.77946	126	5.68113		
127	9.77946	127	6.53848		
128	9.95093	128	6.70995		
129	9.77946	129	6.53848		
130	9.77946	130	6.53848		
131	9.60799	131	6.53848		
132	9.77946	132	6.53848		
133	9.77946	133	6.53848		
134	9.77946	134	6.53848		
135	9.77946	135	6.53848		
136	9.77946	136	5.68113		
137	9.77946	137	6.53848		
138	9.77946	138	6.53848		
139	9.77946	139	6.53848		
140	9.77946	140	6.36701		
141	9.77946	141	6.53848		
142	9.77946	142	6.53848		
143	9.77946	143	6.53848		
144	9.77946	144	6.53848		
145	9.77946	145	6.53848		
146	9.77946	146	6.53848		
147	9.77946	147	6.53848		
148	9.77946	148	6.53848		
149	9.77946	149	6.53848		
150	9.77946	150	6.53848		
151	9.77946	151	6.53848		
152	9.77946	152	6.36701		
153	9.77946	153	6.53848		
154	9.77946	154	6.53848		
155	9.77946	155	5.68113		
156	9.77946	156	6.53848		
157	9.77946	157	5.68113		
158	9.77946	158	6.53848		
159	9.77946	159	6.53848		
160	9.77946	160	5.68113		
161	9.77946	161	6.53848		
162	9.60799	162	6.53848		
163	9.77946	163	6.53848		
164	9.77946	164	6.53848		
165	9.77946	165	6.53848		
166	9.77946	166	5.68113		
167	9.77946	167	7.39583		
168	9.77946	168	5.68113		
169	9.77946	169	6.53848		
170	9.77946	170	6.53848		
171	9.77946	171	5.68113		
172	9.77946	172	6.53848		
173	9.77946	173	6.53848		
174	9.77946	174	6.53848		
175	9.77946	175	5.68113		
176	8.92211	176	6.53848		
177	9.77946	177	6.53848		
178	9.77946	178	6.53848		
179	9.60799	179	6.53848		
180	9.77946	180	6.53848		
181	9.77946	181	6.53848		
182	9.77946	182	6.53848		
183	9.77946	183	6.53848		
184	9.77946	184	5.68113		
185	9.77946	185	6.53848		
186	9.77946	186	6.53848		
187	9.77946	187	6.53848		
188	9.77946	188	6.53848		
189	9.77946	189	6.53848		
190	9.77946	190	5.68113		
191	9.77946	191	6.53848		
192	9.77946	192	6.53848		
193	9.77946	193	6.53848		
194	9.77946	194	5.68113		
195	9.77946	195	6.53848		
196	9.77946	196	6.53848		
197	9.77946	197	6.53848		
198	9.77946	198	6.53848		
199	9.77946	199	6.53848		
200	9.77946	200	5.68113		
201	10.6368	201	5.8526		
202	9.77946	202	6.19554		
203	9.77946	203	6.53848		
204	9.77946	204	6.53848		
205	9.77946	205	6.53848		
206	9.77946	206	6.53848		
207	9.77946	207	6.53848		
208	9.77946	208	6.53848		
209	9.77946	209	6.53848		
210	9.77946	210	6.53848		
211	9.95093	211	6.53848		
212	9.77946	212	6.53848		
213	9.77946	213	5.68113		
214	9.77946	214	6.53848		
215	10.6368	215	5.68113		
216	9.77946	216	5.68113		
217	9.77946	217	5.68113		
218	9.77946	218	6.70995		
219	9.77946	219	6.53848		
220	9.77946	220	6.53848		
221	9.77946	221	6.53848		
222	9.77946	222	6.53848		
223	9.77946	223	6.53848		
224	9.77946	224	6.53848		
225	9.43652	225	6.53848		
226	9.77946	226	6.53848		
227	9.77946	227	6.53848		
228	9.77946	228	6.53848		
229	9.77946	229	6.70995		
230	9.77946	230	6.53848		
231	9.77946	231	6.53848		
232	9.95093	232	6.53848		
233	9.77946	233	6.53848		
234	9.77946	234	6.53848		
235	9.77946	235	6.53848		
236	9.77946	236	5.68113		
237	9.77946	237	6.53848		
238	9.77946	238	6.53848		
239	9.77946	239	6.53848		
240	9.77946	240	6.53848		
241	9.77946	241	6.53848		
242	9.60799	242	5.68113		
243	10.6368	243	5.68113		
244	9.77946	244	6.53848		
245	10.6368	245	6.53848		
246	9.77946	246	6.53848		
247	9.77946	247	6.53848		
248	9.77946	248	6.53848		
249	9.77946	249	6.53848		
250	9.77946	250	6.53848		
251	9.77946	251	6.53848		
252	9.77946	252	6.53848		
253	9.95093	253	5.68113		
254	9.77946	254	6.53848		
255	9.77946	255	6.53848		
256	9.77946	256	6.53848		
257	10.1224	257	6.88142		
258	9.43652	258	6.53848		
259	9.77946	259	6.70995		
260	9.77946	260	6.53848		
261	9.77946	261	6.70995		
262	9.60799	262	6.53848		
263	9.77946	263	6.53848		
264	9.77946	264	6.53848		
265	9.77946	265	6.53848		
266	9.77946	266	5.68113		
267	9.77946	267	6.53848		
268	9.77946	268	5.68113		
269	9.77946	269	6.53848		
270	9.77946	270	6.53848		
271	9.77946	271	6.36701		
272	9.77946	272	5.68113		
273	9.77946	273	6.53848		
274	9.77946	274	5.68113		
275	9.77946	275	6.53848		
276	9.77946	276	6.53848		
277	9.77946	277	6.53848		
278	9.77946	278	6.53848		
279	9.77946	279	6.53848		
280	9.77946	280	6.53848		
281	9.77946	281	6.53848		
282	9.77946	282	5.68113		
283	9.77946	283	6.53848		
284	9.77946	284	6.53848		
285	9.77946	285	6.53848		
286	9.77946	286	6.53848		
287	9.77946	287	6.53848		
288	9.77946	288	6.19554		
289	9.95093	289	6.53848		
290	9.60799	290	6.53848		
291	9.77946	291	6.53848		
292	9.77946	292	6.53848		
293	9.95093	293	6.53848		
294	9.77946	294	6.53848		
295	9.77946	295	6.53848		
296	9.77946	296	6.53848		
297	9.77946	297	6.36701		
298	9.77946	298	6.53848		
299	9.77946	299	6.53848		
300	10.6368	300	6.53848		
301	9.77946	301	5.68113		
302	9.77946	302	5.68113		
303	9.77946	303	5.68113		
304	9.77946	304	6.53848		
305	9.77946	305	6.53848		
306	9.77946	306	6.53848		
307	9.77946	307	6.53848		
308	9.77946	308	6.53848		
309	9.77946	309	6.53848		
310	9.77946	310	6.53848		
311	10.6368	311	5.68113		
312	9.77946	312	6.53848		
313	9.77946	313	6.53848		
314	9.77946	314	5.68113		
315	10.6368	315	6.53848		
316	9.95093	316	6.53848		
317	9.77946	317	7.05289		
318	9.77946	318	6.88142		
319	9.77946	319	6.53848		
320	9.77946	320	6.53848		
321	9.77946	321	6.36701		
322	9.77946	322	6.53848		
323	9.77946	323	6.53848		
324	10.1224	324	6.53848		
325	9.77946	325	6.53848		
326	10.6368	326	6.53848		
327	10.6368	327	5.8526		
328	9.77946	328	6.53848		
329	9.77946	329	6.53848		
330	9.77946	330	5.68113		
331	9.77946	331	6.53848		
332	9.77946	332	6.53848		
333	9.77946	333	6.53848		
334	9.77946	334	6.53848		
335	9.77946	335	6.53848		
336	9.77946	336	6.53848		
337	9.77946	337	5.50966		
338	9.77946	338	6.53848		
339	9.77946	339	6.53848		
340	9.77946	340	6.53848		
341	10.6368	341	6.53848		
342	9.77946	342	6.53848		
343	9.77946	343	6.53848		
344	9.77946	344	6.53848		
345	9.77946	345	6.53848		
346	9.77946	346	5.68113		
347	9.77946	347	6.53848		
348	10.4653	348	6.53848		
349	9.60799	349	5.68113		
350	9.77946	350	6.70995		
351	9.95093	351	6.53848		
352	9.77946	352	6.53848		
353	9.77946	353	6.53848		
354	9.77946	354	5.68113		
355	9.77946	355	6.53848		
356	9.95093	356	6.53848		
357	9.77946	357	6.53848		
358	9.77946	358	6.53848		
359	9.77946	359	5.68113		
360	9.77946	360	6.53848		
361	9.77946	361	6.53848		
362	9.60799	362	6.53848		
363	9.77946	363	6.53848		
364	9.77946	364	6.53848		
365	9.77946	365	5.68113		
366	9.60799	366	6.53848		
367	9.77946	367	5.68113		
368	9.77946	368	6.53848		
369	9.77946	369	6.53848		
370	9.77946	370	6.53848		
371	9.77946	371	6.53848		
372	9.77946	372	5.68113		
373	9.77946	373	6.53848		
374	9.77946	374	6.53848		
375	9.77946	375	6.53848		
376	9.77946	376	6.53848		
377	10.1224	377	6.53848		
378	9.77946	378	5.68113		
379	9.77946	379	6.53848		
380	9.77946	380	5.68113		
381	9.77946	381	5.68113		
382	10.4653	382	6.36701		
383	9.95093	383	6.53848		
384	9.77946	384	6.53848		
385	8.92211	385	5.68113		
386	8.92211	386	5.68113		
387	8.06476	387	4.82378		
388	7.03593	388	3.96643		
389	6.17858	389	3.10908		
390	4.63535	390	2.25172		
391	3.778	391	1.39437		
392	-0.537022	392	-0.320329		
393	-2.25172	393	-4.63535		
394	-2.93761	394	-6.52152		
395	-5.68113	395	-7.89328		
396	-6.53848	396	-8.92211		
397	-8.25318	397	-10.6368		
398	-9.62495	398	-12.3515		
399	-11.8541	399	-14.9236		
400	-14.2546	400	-16.6383		
401	-15.9693	401	-18.353		
402	-18.5414	402	-20.0677		
403	-20.2561	403	-21.7824		
404	-22.8282	404	-24.183		
405	-24.5429	405	-26.0691		
406	-26.2576	406	-27.7838		
407	-27.9723	407	-29.4985		
408	-30.5443	408	-31.2132		
409	-33.1164	409	-33.4424		
410	-34.8311	410	-35.5		
411	-37.2317	411	-37.9006		
412	-39.9752	412	-40.6441		
413	-42.5472	413	-43.2162		
414	-44.4334	414	-45.1023		
415	-46.834	415	-46.6456		
416	-47.6913	416	-49.2176		
417	-50.2634	417	-50.9323		
418	-52.8355	418	-52.647		
419	-54.5502	419	-54.3617		
420	-56.2649	420	-56.9338		
421	-57.2937	421	-58.477		
422	-60.5516	422	-61.2205		
423	-62.2663	423	-62.9352		
424	-63.6381	424	-66.3646		
425	-68.2678	425	-70.6514		
426	-70.8398	426	-72.3661		
427	-72.5545	427	-74.2523		
428	-75.1266	428	-76.6529		
429	-77.6986	429	-79.2249		
430	-78.556	430	-81.1111		
431	-81.128	431	-83.5117		
432	-83.7001	432	-86.0837		
433	-84.5575	433	-87.7984		
434	-87.6439	434	-88.6558		
435	-89.7016	435	-91.2278		
436	-91.4163	436	-92.9425		
437	-93.131	437	-95.5146		
438	-94.8457	438	-97.4008		
